Date,Value
2018-11-18 19,30.2839992
2018-11-18 20,28.197999199999998
2018-11-18 21,24.729999600000003
2018-11-18 22,21.51249975
2018-11-18 23,20.4319996
2018-11-19 00,17.7719996
2018-11-19 01,15.372499249999999
2018-11-19 02,16.08749925
2018-11-19 03,17.4879994
2018-11-19 04,19.818
2018-11-19 05,22.569999250000002
2018-11-19 06,30.127999
2018-11-19 07,30.2019994
2018-11-19 08,35.3849995
2018-11-19 09,54.2559976
2018-11-19 10,59.777997400000004
2018-11-19 11,71.432499
2018-11-19 12,66.35749925
2018-11-19 13,58.654999000000004
2018-11-19 14,54.5539984
2018-11-19 15,52.069998999999996
2018-11-19 16,49.33
2018-11-19 17,53.40399880000001
2018-11-19 18,59.2399986
2018-11-19 19,55.789998600000004
2018-11-19 20,47.1574995
2018-11-19 21,43.8359984
2018-11-19 22,51.091999799999996
2018-11-19 23,52.244999
2018-11-20 00,39.673999800000004
2018-11-20 01,31.841999199999997
2018-11-20 02,44.704999
2018-11-20 03,45.2074985
2018-11-20 04,34.821999600000005
2018-11-20 05,44.8759994
2018-11-20 06,66.0674975
2018-11-20 07,84.48400099999999
2018-11-20 08,86.34599759999999
2018-11-20 09,84.54599800000001
2018-11-20 10,79.23499874999999
2018-11-20 11,83.515999
2018-11-20 12,79.1279984
2018-11-20 13,70.20749875000001
2018-11-20 14,66.36199959999999
2018-11-20 15,55.2219994
2018-11-20 16,54.5719984
2018-11-20 17,51.294998
2018-11-20 18,56.3319986
2018-11-20 19,60.811998800000005
2018-11-20 20,56.06999950000001
2018-11-20 21,53.0079984
2018-11-20 22,54.3759986
2018-11-20 23,45.519999
2018-11-21 00,40.4349985
2018-11-21 01,38.1839988
2018-11-21 02,33.943999
2018-11-21 03,38.037499249999996
2018-11-21 04,29.9519996
2018-11-21 05,28.723999
2018-11-21 06,30.2860004
2018-11-21 07,25.9099995
2018-11-21 08,36.1799992
2018-11-21 09,33.7159994
2018-11-21 10,33.04749925
2018-11-21 11,46.1879996
2018-11-21 12,55.251998
2018-11-21 13,79.7999986
2018-11-21 14,68.09499925
2018-11-21 15,50.5919988
2018-11-21 16,46.093999399999994
2018-11-21 17,50.90249825
2018-11-21 18,54.6299982
2018-11-21 19,60.427997600000005
2018-11-21 20,66.2939982
2018-11-21 21,69.0724965
2018-11-21 22,65.7599982
2018-11-21 23,56.731998999999995
2018-11-22 00,46.694998749999996
2018-11-22 01,30.971999
2018-11-22 02,19.1679996
2018-11-22 03,15.905999600000001
2018-11-22 04,20.08999975
2018-11-22 05,27.325999799999998
2018-11-22 06,36.9839986
2018-11-22 07,39.672498250000004
2018-11-22 08,66.97799979999999
2018-11-22 09,89.7179972
2018-11-22 10,43.751999
2018-11-22 11,35.417498499999994
2018-11-22 12,35.0519988
2018-11-22 13,33.2539986
2018-11-22 14,38.8374985
2018-11-22 15,41.382000000000005
2018-11-22 16,40.285999399999994
2018-11-22 17,46.5019998
2018-11-22 18,59.607499250000004
2018-11-22 19,68.3739974
2018-11-22 20,67.7079978
2018-11-22 21,67.075001
2018-11-22 22,69.0919982
2018-11-22 23,72.57399899999999
2018-11-23 00,64.90999919999999
2018-11-23 01,51.717498750000004
2018-11-23 02,53.7159988
2018-11-23 03,54.9859986
2018-11-23 04,54.884998249999995
2018-11-23 05,52.8139992
2018-11-23 06,49.5819984
2018-11-23 07,46.552498750000005
2018-11-23 08,45.487998999999995
2018-11-23 09,43.7279984
2018-11-23 10,40.63599860000001
2018-11-23 11,43.894999250000005
2018-11-23 12,43.079999
2018-11-23 13,38.4079994
2018-11-23 14,37.289999
2018-11-23 15,35.76999880000001
2018-11-23 16,34.3279992
2018-11-23 17,33.959998999999996
2018-11-23 18,39.039999
2018-11-23 19,53.955998799999996
2018-11-23 20,87.0919984
2018-11-23 21,104.15749725
2018-11-23 22,110.2339966
2018-11-23 23,106.83999779999999
2018-11-24 00,99.3039964
2018-11-24 01,88.77749650000001
2018-11-24 02,68.7799988
2018-11-24 03,61.465998
2018-11-24 04,59.97666533333334
2018-11-24 05,51.73599839999999
2018-11-24 06,46.517998399999996
2018-11-24 07,39.769999
2018-11-24 08,42.56333133333334
2018-11-24 09,38.0119994
2018-11-24 10,40.299999400000004
2018-11-24 11,38.06499975
2018-11-24 12,42.6899995
2018-11-24 13,42.847998
2018-11-24 14,40.6899986
2018-11-24 15,41.88333266666666
2018-11-24 16,40.5079988
2018-11-24 17,41.3379998
2018-11-24 18,47.477499
2018-11-24 19,57.20399999999999
2018-11-24 20,66.9359978
2018-11-24 21,69.62199860000001
2018-11-24 22,74.15666433333332
